id,utilizador_id,produto_id,loja_id,datahora,texto,extracted_on,processed
102,3,99,1,2025-08-07 07:55:58,Ótimo com queijos curados.,2025-08-22 08:07:08,False
103,2,42,1,2023-06-06 05:19:39,Processo de compra online confuso.,2023-06-14 06:41:52,False
104,4,23,1,2025-05-14 02:56:20,Muito tânico para o meu gosto.,2025-05-31 04:35:02,False
105,4,20,1,2025-11-09 18:19:34,"Não gostei, achei muito alcoólico.",2025-11-19 23:48:22,False
106,4,3,2,2024-04-27 23:41:10,Ótimo com queijos curados.,2024-05-12 13:27:48,False
107,2,25,1,2024-04-10 01:04:15,"Vinho leve e fresco, ideal para verão.",2024-05-04 22:54:43,False
108,2,21,1,2023-12-28 00:14:35,"A safra está excelente, recomendo guardar mais alguns anos.",2024-01-13 23:21:41,False
109,1,64,2,2023-12-26 07:34:28,Textura sedosa e final longo.,2024-01-14 04:25:42,False
110,1,35,2,2025-05-22 12:17:55,Perfeito para acompanhar carnes vermelhas.,2025-06-01 20:33:04,False
111,1,85,1,2024-09-28 23:59:04,"Não gostei, achei muito alcoólico.",2024-10-16 09:30:08,False
112,1,56,2,2023-05-29 21:23:13,"Não gostei, achei muito alcoólico.",2023-06-24 12:03:14,False
113,2,57,2,2024-04-14 18:24:54,"Não gostei, achei muito alcoólico.",2024-04-19 16:56:24,False
114,1,30,2,2024-01-31 08:17:07,"Vinho leve e fresco, ideal para verão.",2024-02-10 02:50:12,False
115,3,48,2,2024-11-26 01:33:03,"Vinho leve e fresco, ideal para verão.",2024-12-09 05:44:18,False
116,3,27,2,2023-08-12 03:19:17,Textura sedosa e final longo.,2023-09-09 00:54:32,False
117,3,49,1,2024-02-06 08:54:08,Textura sedosa e final longo.,2024-02-25 20:48:04,False
118,4,88,1,2023-12-25 18:44:42,Ótimo com queijos curados.,2024-01-11 02:28:20,False
119,3,57,2,2023-01-06 19:28:39,"Gosto muito deste vinho, notas frutadas e bom corpo.",2023-01-28 09:50:08,False
120,2,3,2,2023-07-27 00:53:46,Pouco complexo para o preço pedido.,2023-08-22 09:05:17,False
121,2,31,1,2023-09-26 20:49:22,"Gosto muito deste vinho, notas frutadas e bom corpo.",2023-10-18 05:39:47,False
122,4,73,2,2024-02-08 08:18:17,Muito tânico para o meu gosto.,2024-03-06 07:00:37,False
123,2,95,2,2025-10-05 11:03:27,Textura sedosa e final longo.,2025-10-15 14:01:50,False
124,3,99,2,2025-04-24 05:40:40,Não gostei do serviço ao cliente.,2025-05-18 21:19:42,False
125,4,99,2,2023-12-22 20:17:33,Ótimo com queijos curados.,2023-12-27 12:48:35,False
126,3,17,1,2023-12-12 01:01:32,"Prefiro vinhos do Douro, este é perto do meu estilo.",2023-12-13 23:05:36,False
127,4,69,2,2024-03-28 03:31:51,"Vinho leve e fresco, ideal para verão.",2024-04-18 09:52:42,False
128,2,67,1,2023-10-26 23:46:17,"Vinho leve e fresco, ideal para verão.",2023-10-29 21:29:50,False
129,3,36,2,2024-03-21 17:45:58,Perfeito para acompanhar carnes vermelhas.,2024-03-27 11:38:23,False
130,2,10,2,2025-09-11 16:24:30,"Gosto muito deste vinho, notas frutadas e bom corpo.",2025-09-20 03:31:09,False
131,1,48,1,2025-10-03 19:56:25,"Vinho leve e fresco, ideal para verão.",2025-10-24 08:43:14,False
132,1,22,1,2024-04-15 21:53:48,"Aroma complexo, com notas de baunilha e frutos negros.",2024-05-07 11:09:16,False
133,2,76,2,2024-03-13 14:15:02,"Aroma complexo, com notas de baunilha e frutos negros.",2024-04-13 05:52:46,False
134,4,48,2,2023-09-03 18:19:39,"A safra está excelente, recomendo guardar mais alguns anos.",2023-09-19 09:52:43,False
135,4,95,1,2025-11-01 12:35:40,Perfeito para acompanhar carnes vermelhas.,2025-11-14 01:19:11,False
136,3,4,1,2025-10-07 15:22:19,Perfeito para acompanhar carnes vermelhas.,2025-10-15 21:17:58,False
137,4,18,2,2024-08-11 00:29:04,Serviço pós-venda eficiente.,2024-09-04 07:27:04,False
138,2,86,1,2024-01-19 12:01:06,Textura sedosa e final longo.,2024-01-22 03:22:27,False
139,4,72,1,2025-04-15 01:53:25,Surpreendeu-me pela elegância.,2025-04-25 22:42:49,False
140,2,74,2,2023-09-29 11:02:34,Ótimo com queijos curados.,2023-10-10 18:25:08,False
141,1,24,2,2025-09-19 22:37:16,Excelente relação qualidade/preço.,2025-10-01 13:28:01,False
142,1,80,1,2024-09-15 14:01:46,"Vinho leve e fresco, ideal para verão.",2024-09-18 19:46:52,False
143,2,33,1,2023-10-22 17:37:15,Recomendo pela rapidez da entrega.,2023-11-17 01:05:16,False
144,2,62,2,2025-05-08 12:35:13,Surpreendeu-me pela elegância.,2025-05-14 10:46:00,False
145,4,75,1,2023-06-28 14:11:53,"Não gostei, achei muito alcoólico.",2023-07-12 17:40:57,False
146,1,19,2,2025-06-26 20:20:40,Perfeito para acompanhar carnes vermelhas.,2025-07-15 04:13:15,False
147,2,22,1,2024-02-17 20:21:36,"Gosto muito deste vinho, notas frutadas e bom corpo.",2024-03-14 15:40:42,False
148,3,48,2,2023-06-29 10:23:41,Atendimento na loja excelente.,2023-07-08 03:22:00,False
149,3,11,2,2024-01-16 22:56:11,Perfeito para acompanhar carnes vermelhas.,2024-01-29 09:54:40,False
150,4,63,1,2023-04-25 17:03:08,Excelente relação qualidade/preço.,2023-05-21 18:56:14,False
151,4,26,1,2025-05-03 11:32:30,"A safra está excelente, recomendo guardar mais alguns anos.",2025-05-28 08:45:52,False
152,2,90,1,2025-08-25 20:49:09,"Aroma complexo, com notas de baunilha e frutos negros.",2025-09-23 15:30:53,False
153,1,58,1,2023-05-20 17:51:05,Surpreendeu-me pela elegância.,2023-05-30 09:55:21,False
154,4,44,1,2023-07-16 05:44:37,Ótimo com queijos curados.,2023-08-01 02:53:27,False
155,3,69,2,2025-02-12 15:33:59,"Aroma complexo, com notas de baunilha e frutos negros.",2025-03-06 12:29:58,False
156,2,26,1,2025-10-03 14:54:05,"Adoro vinhos da Toscana, este cumpre bem.",2025-10-19 00:58:10,False
157,2,58,2,2023-12-31 11:50:29,Sabor a frutos vermelhos e especiarias.,2024-01-24 00:09:49,False
158,3,86,1,2025-03-30 18:04:21,Sabor a frutos vermelhos e especiarias.,2025-04-04 08:47:29,False
159,4,18,2,2023-07-08 14:04:25,Muito tânico para o meu gosto.,2023-08-05 22:13:16,False
160,3,44,1,2024-05-05 16:40:44,Serviço pós-venda eficiente.,2024-06-05 14:08:02,False
161,1,68,2,2024-07-30 06:07:31,Perfeito para acompanhar carnes vermelhas.,2024-08-14 02:09:47,False
162,3,60,1,2024-12-10 22:23:39,"Prefiro vinhos do Douro, este é perto do meu estilo.",2024-12-14 04:37:34,False
163,3,17,2,2023-10-14 14:27:57,Textura sedosa e final longo.,2023-10-24 16:53:19,False
164,4,97,1,2023-01-13 02:20:27,Perfeito para acompanhar carnes vermelhas.,2023-01-23 18:59:27,False
165,4,56,1,2024-04-05 02:31:20,"Entrega atrasada, não recomendo.",2024-04-15 12:21:09,False
166,4,29,1,2023-03-03 21:50:08,Textura sedosa e final longo.,2023-03-16 07:43:17,False
167,1,25,2,2023-09-19 12:13:21,Pouco complexo para o preço pedido.,2023-09-21 05:22:28,False
168,1,8,1,2024-01-12 06:06:20,Pouco complexo para o preço pedido.,2024-01-27 21:49:12,False
169,3,24,2,2025-01-26 03:38:34,Ótimo com queijos curados.,2025-01-30 04:33:18,False
170,3,28,2,2025-07-21 19:54:35,"Prefiro vinhos do Douro, este é perto do meu estilo.",2025-08-12 06:42:07,False
171,2,23,1,2024-03-29 23:45:24,"A safra está excelente, recomendo guardar mais alguns anos.",2024-04-25 05:16:25,False
172,3,79,2,2025-04-14 10:30:48,Muito tânico para o meu gosto.,2025-04-30 09:49:41,False
173,2,75,2,2024-05-20 08:36:59,Surpreendeu-me pela elegância.,2024-06-18 11:33:12,False
174,1,27,2,2025-02-15 15:09:45,Surpreendeu-me pela elegância.,2025-03-10 04:12:33,False
175,4,59,1,2023-11-17 22:21:58,Textura sedosa e final longo.,2023-12-16 10:29:34,False
176,3,14,1,2023-11-04 01:06:26,"Adoro vinhos da Toscana, este cumpre bem.",2023-11-06 08:40:15,False
177,2,23,2,2024-10-02 14:59:46,Muito tânico para o meu gosto.,2024-10-13 12:47:29,False
178,1,40,2,2024-11-06 20:47:37,Textura sedosa e final longo.,2024-11-28 22:47:57,False
179,3,73,2,2024-12-27 07:54:07,Pouco complexo para o preço pedido.,2025-01-21 23:18:16,False
180,2,12,2,2025-11-09 20:07:46,Surpreendeu-me pela elegância.,2025-11-13 07:21:43,False
181,1,53,1,2025-07-31 19:06:58,Ótimo com queijos curados.,2025-08-21 22:21:17,False
182,3,74,1,2024-04-23 23:13:28,"Prefiro vinhos do Douro, este é perto do meu estilo.",2024-05-12 04:46:58,False
183,1,39,2,2024-03-17 10:01:01,"Não gostei, achei muito alcoólico.",2024-03-30 10:42:05,False
184,1,34,1,2025-04-20 12:17:01,"Prefiro vinhos do Douro, este é perto do meu estilo.",2025-04-27 13:51:58,False
185,4,67,1,2023-07-17 20:18:16,"Aroma complexo, com notas de baunilha e frutos negros.",2023-07-28 05:14:37,False
186,2,72,1,2023-11-30 22:46:50,"A safra está excelente, recomendo guardar mais alguns anos.",2023-12-31 17:16:16,False
187,3,54,2,2023-03-23 08:17:15,Processo de compra online confuso.,2023-04-03 17:51:00,False
188,2,81,2,2024-07-06 22:25:59,"Adoro vinhos da Toscana, este cumpre bem.",2024-07-19 09:21:34,False
189,1,15,1,2024-05-21 17:21:27,"Vinho leve e fresco, ideal para verão.",2024-05-30 23:54:11,False
190,2,61,2,2025-04-19 09:45:21,Sabor a frutos vermelhos e especiarias.,2025-05-15 03:41:57,False
191,3,88,2,2025-08-11 08:32:34,Excelente relação qualidade/preço.,2025-08-24 08:00:18,False
192,4,8,1,2024-08-11 19:32:34,Sabor a frutos vermelhos e especiarias.,2024-08-30 00:07:29,False
193,4,9,2,2024-03-21 22:31:18,"Vinho leve e fresco, ideal para verão.",2024-03-26 01:42:49,False
194,3,91,1,2025-09-06 19:25:00,Textura sedosa e final longo.,2025-10-03 17:19:13,False
195,1,86,2,2023-03-26 22:49:54,Sabor a frutos vermelhos e especiarias.,2023-04-19 13:34:05,False
196,2,8,1,2025-03-23 11:41:38,"Prefiro vinhos do Douro, este é perto do meu estilo.",2025-03-29 16:44:19,False
197,2,100,1,2024-01-17 14:20:15,Perfeito para acompanhar carnes vermelhas.,2024-01-28 15:55:01,False
198,4,49,2,2023-10-14 00:09:13,"Adoro vinhos da Toscana, este cumpre bem.",2023-10-25 01:17:40,False
199,1,35,1,2025-09-12 04:58:27,Muito tânico para o meu gosto.,2025-09-30 07:00:02,False
200,3,20,2,2025-03-25 10:48:34,"Vinho leve e fresco, ideal para verão.",2025-04-09 00:51:37,False
201,2,3,2,2023-10-22 03:52:46,Sabor a frutos vermelhos e especiarias.,2023-10-29 20:41:41,False
202,3,77,1,2024-09-14 14:58:04,Muito tânico para o meu gosto.,2024-09-30 08:55:33,False
203,2,54,2,2023-12-31 06:49:27,Perfeito para acompanhar carnes vermelhas.,2024-01-05 02:47:54,False
204,4,42,2,2023-07-27 03:21:10,"Adoro vinhos da Toscana, este cumpre bem.",2023-08-08 07:01:13,False
205,4,96,1,2024-12-25 13:40:45,Excelente relação qualidade/preço.,2025-01-11 22:15:08,False
206,1,71,2,2023-02-17 11:16:48,Surpreendeu-me pela elegância.,2023-02-24 00:43:35,False
207,4,67,2,2024-04-24 05:46:45,Sabor a frutos vermelhos e especiarias.,2024-05-19 17:45:37,False
208,2,74,2,2024-06-06 01:25:08,Perfeito para acompanhar carnes vermelhas.,2024-06-28 13:30:25,False
209,1,28,2,2025-06-12 03:08:57,"Gosto muito deste vinho, notas frutadas e bom corpo.",2025-07-13 02:08:52,False
210,4,97,1,2024-11-27 06:53:25,"Aroma complexo, com notas de baunilha e frutos negros.",2024-12-27 16:56:25,False
211,1,51,1,2024-05-21 18:43:23,"Adoro vinhos da Toscana, este cumpre bem.",2024-05-28 03:24:22,False
212,1,96,1,2025-05-31 11:24:29,Perfeito para acompanhar carnes vermelhas.,2025-06-03 23:20:50,False
213,4,64,2,2023-11-27 05:22:00,Pouco complexo para o preço pedido.,2023-12-15 07:40:54,False
214,4,35,1,2023-05-30 23:59:16,"Gosto muito deste vinho, notas frutadas e bom corpo.",2023-06-04 07:38:45,False
215,2,17,2,2025-10-08 18:54:37,"Não gostei, achei muito alcoólico.",2025-11-08 15:33:41,False
216,4,16,2,2023-03-25 22:50:26,"Vinho leve e fresco, ideal para verão.",2023-03-27 20:25:38,False
217,3,93,2,2024-07-07 04:26:10,"Prefiro vinhos do Douro, este é perto do meu estilo.",2024-07-26 14:52:49,False
218,1,3,2,2024-04-05 12:05:05,"A safra está excelente, recomendo guardar mais alguns anos.",2024-04-07 18:47:56,False
219,3,44,2,2023-07-24 23:05:14,Perfeito para acompanhar carnes vermelhas.,2023-08-19 03:15:53,False
220,4,58,2,2025-05-13 13:04:04,"Adoro vinhos da Toscana, este cumpre bem.",2025-06-01 09:38:02,False
221,3,97,1,2023-03-23 21:50:47,Pouco complexo para o preço pedido.,2023-04-17 09:33:48,False
222,4,6,1,2025-09-26 01:32:44,Surpreendeu-me pela elegância.,2025-09-27 04:24:52,False
223,4,21,1,2023-12-27 21:09:05,"Prefiro vinhos do Douro, este é perto do meu estilo.",2024-01-15 13:11:05,False
224,2,22,1,2024-09-04 02:43:20,"A safra está excelente, recomendo guardar mais alguns anos.",2024-09-26 20:57:59,False
225,1,10,2,2025-09-17 08:15:28,Serviço pós-venda eficiente.,2025-09-29 16:01:12,False
226,4,54,2,2024-06-06 00:48:47,Recomendo pela rapidez da entrega.,2024-06-26 01:52:31,False
227,3,73,2,2024-02-19 17:51:46,"Não gostei, achei muito alcoólico.",2024-02-22 09:36:24,False
228,4,94,1,2024-05-05 23:00:50,"Adoro vinhos da Toscana, este cumpre bem.",2024-05-18 06:29:06,False
229,2,4,2,2023-02-02 07:10:03,Excelente relação qualidade/preço.,2023-02-08 21:10:33,False
230,2,54,2,2025-07-04 05:25:11,"Adoro vinhos da Toscana, este cumpre bem.",2025-08-03 02:48:56,False
231,4,69,2,2024-06-04 04:40:49,Sabor a frutos vermelhos e especiarias.,2024-06-17 03:20:07,False
232,3,70,2,2025-03-22 06:44:15,Ótimo com queijos curados.,2025-04-01 04:09:03,False
233,2,77,1,2023-10-15 16:04:00,Pouco complexo para o preço pedido.,2023-11-15 13:56:20,False
234,4,91,2,2023-05-07 23:41:26,Ótimo com queijos curados.,2023-05-18 10:31:02,False
235,2,98,2,2024-07-10 14:41:40,"Não gostei, achei muito alcoólico.",2024-07-12 05:57:44,False
236,2,53,1,2023-03-03 03:35:30,Serviço pós-venda eficiente.,2023-03-27 23:02:12,False
237,3,21,1,2025-06-09 16:22:36,Pouco complexo para o preço pedido.,2025-06-17 00:52:41,False
238,1,1,2,2025-08-22 20:57:00,Ótimo com queijos curados.,2025-09-03 12:37:07,False
239,2,83,2,2024-01-08 22:55:02,Surpreendeu-me pela elegância.,2024-01-20 01:36:01,False
240,4,53,1,2024-02-14 19:50:04,"Aroma complexo, com notas de baunilha e frutos negros.",2024-03-08 00:56:27,False
241,3,77,2,2023-12-18 01:00:59,"Aroma complexo, com notas de baunilha e frutos negros.",2023-12-29 03:09:29,False
242,2,8,2,2023-05-03 15:00:54,Perfeito para acompanhar carnes vermelhas.,2023-05-19 18:42:40,False
243,4,49,1,2023-04-23 23:00:10,"Prefiro vinhos do Douro, este é perto do meu estilo.",2023-05-01 17:18:32,False
244,2,49,2,2025-01-25 01:32:39,Perfeito para acompanhar carnes vermelhas.,2025-02-23 20:20:35,False
245,4,99,2,2024-11-08 06:27:31,Perfeito para acompanhar carnes vermelhas.,2024-11-24 09:14:56,False
246,2,92,2,2025-09-23 16:35:31,"Gosto muito deste vinho, notas frutadas e bom corpo.",2025-10-11 07:09:02,False
247,4,68,2,2025-01-28 02:43:43,Ótimo com queijos curados.,2025-02-23 20:51:04,False
248,3,5,1,2023-02-06 23:40:01,"Prefiro vinhos do Douro, este é perto do meu estilo.",2023-03-01 21:47:20,False
249,1,19,1,2023-11-12 19:48:23,"Adoro vinhos da Toscana, este cumpre bem.",2023-12-07 10:28:28,False
250,1,16,2,2024-11-15 17:03:59,Surpreendeu-me pela elegância.,2024-12-15 22:08:03,False
251,1,95,2,2023-09-23 01:11:07,Perfeito para acompanhar carnes vermelhas.,2023-10-17 01:29:01,False
252,3,10,2,2025-02-11 10:00:18,"Não gostei, achei muito alcoólico.",2025-03-10 12:06:31,False
253,4,60,2,2023-11-06 06:36:11,Ótimo com queijos curados.,2023-12-02 08:54:18,False
