id,utilizador_id,produto_id,loja_id,datahora,texto,extracted_on
23,1,26,1,2023-01-27 15:46:55,Funcionários pouco prestáveis.,2023-02-04 00:23:09
24,1,44,1,2025-04-09 19:48:04,"Gosto muito deste vinho, notas frutadas e bom corpo.",2025-04-15 11:19:50
25,3,92,2,2024-06-12 23:34:14,Ótimo com queijos curados.,2024-06-26 07:27:46
26,1,77,2,2024-06-17 10:40:37,Processo de compra online confuso.,2024-07-11 04:48:21
27,3,86,2,2024-05-05 02:56:22,Pouco complexo para o preço pedido.,2024-05-17 09:45:50
28,2,24,2,2023-04-08 00:00:48,Sabor a frutos vermelhos e especiarias.,2023-05-05 13:25:20
29,2,72,2,2024-07-26 11:19:00,"Adoro vinhos da Toscana, este cumpre bem.",2024-07-29 20:26:58
30,3,8,2,2023-03-22 03:56:00,Pouco complexo para o preço pedido.,2023-04-10 16:15:06
31,3,32,2,2024-02-18 02:00:15,Surpreendeu-me pela elegância.,2024-03-16 16:36:51
32,4,65,2,2024-06-07 18:55:07,Excelente relação qualidade/preço.,2024-06-10 00:02:08
33,2,62,1,2024-12-31 14:21:05,Perfeito para acompanhar carnes vermelhas.,2025-01-18 18:42:00
34,1,60,2,2025-06-20 03:52:31,Surpreendeu-me pela elegância.,2025-07-19 04:13:17
35,1,33,2,2023-09-19 00:15:12,Excelente relação qualidade/preço.,2023-10-03 11:42:14
36,2,26,1,2024-02-23 13:48:58,"Adoro vinhos da Toscana, este cumpre bem.",2024-03-11 19:37:45
37,2,39,2,2024-12-27 01:37:11,Ótimo com queijos curados.,2025-01-04 11:10:16
38,3,25,1,2025-09-14 04:42:35,"Gosto muito deste vinho, notas frutadas e bom corpo.",2025-09-27 18:34:25
39,4,98,2,2025-03-14 14:01:27,Perfeito para acompanhar carnes vermelhas.,2025-03-26 18:32:35
40,2,5,1,2023-11-20 09:19:09,Funcionários pouco prestáveis.,2023-11-23 22:18:10
41,1,6,1,2024-11-07 18:43:30,"Aroma complexo, com notas de baunilha e frutos negros.",2024-12-01 04:42:41
42,3,28,1,2024-07-15 14:55:12,"Prefiro vinhos do Douro, este é perto do meu estilo.",2024-08-10 19:24:26
43,4,51,1,2024-08-28 23:29:27,Excelente relação qualidade/preço.,2024-09-01 15:24:29
44,1,17,1,2024-12-15 17:56:05,Recomendo pela rapidez da entrega.,2025-01-15 05:31:44
45,3,37,2,2023-11-28 11:08:19,Pouco complexo para o preço pedido.,2023-12-11 12:14:51
46,1,76,2,2023-05-09 13:54:24,"A safra está excelente, recomendo guardar mais alguns anos.",2023-06-04 11:07:48
47,4,18,1,2023-09-10 12:53:58,"Entrega atrasada, não recomendo.",2023-10-06 15:15:00
48,4,56,1,2025-10-24 07:15:39,Surpreendeu-me pela elegância.,2025-11-06 08:18:48
49,1,18,1,2024-07-11 13:59:20,Textura sedosa e final longo.,2024-07-26 20:51:35
50,3,86,1,2023-05-19 21:11:16,"Não gostei, achei muito alcoólico.",2023-06-10 21:29:36
51,2,8,1,2025-05-04 15:41:36,"A safra está excelente, recomendo guardar mais alguns anos.",2025-05-07 19:40:51
52,1,78,2,2024-10-15 19:14:47,Textura sedosa e final longo.,2024-11-03 06:38:27
53,1,78,2,2024-06-27 11:33:03,"Prefiro vinhos do Douro, este é perto do meu estilo.",2024-07-09 10:26:03
54,1,83,2,2023-05-05 02:19:33,"Adoro vinhos da Toscana, este cumpre bem.",2023-05-19 01:31:12
55,1,94,1,2024-09-11 22:28:30,"Não gostei, achei muito alcoólico.",2024-10-03 19:32:42
56,4,100,2,2024-03-16 02:10:25,"Aroma complexo, com notas de baunilha e frutos negros.",2024-04-06 19:44:35
57,1,98,1,2023-10-27 07:27:37,Ótimo com queijos curados.,2023-11-08 12:33:45
58,1,35,1,2023-04-25 07:42:48,"Aroma complexo, com notas de baunilha e frutos negros.",2023-05-07 09:41:04
59,4,12,2,2025-03-17 21:21:46,Muito tânico para o meu gosto.,2025-04-13 15:16:53
60,3,37,2,2024-11-13 18:02:17,Muito tânico para o meu gosto.,2024-11-21 18:08:10
61,4,50,2,2025-11-13 03:49:37,Perfeito para acompanhar carnes vermelhas.,2025-11-19 08:13:37
62,1,54,1,2023-05-11 06:21:34,Sabor a frutos vermelhos e especiarias.,2023-05-17 23:39:00
63,4,40,1,2023-02-07 00:20:55,"Vinho leve e fresco, ideal para verão.",2023-02-11 18:46:12
64,2,40,2,2025-07-17 02:25:01,"Aroma complexo, com notas de baunilha e frutos negros.",2025-08-04 23:46:02
65,3,26,2,2023-11-26 06:42:47,Pouco complexo para o preço pedido.,2023-12-12 08:09:51
66,2,22,1,2025-05-04 05:00:00,Textura sedosa e final longo.,2025-05-12 07:28:37
67,4,92,2,2023-04-26 21:30:25,Recomendo pela rapidez da entrega.,2023-05-24 03:35:53
68,3,90,1,2023-11-20 11:28:55,Muito tânico para o meu gosto.,2023-12-12 12:38:49
69,1,53,2,2025-08-13 18:44:07,Textura sedosa e final longo.,2025-08-27 05:26:18
70,4,85,1,2023-05-16 15:10:38,"A safra está excelente, recomendo guardar mais alguns anos.",2023-05-18 21:20:20
71,3,47,2,2024-02-13 20:34:28,"Adoro vinhos da Toscana, este cumpre bem.",2024-02-24 10:28:39
72,1,1,1,2025-03-18 09:28:44,Sabor a frutos vermelhos e especiarias.,2025-04-13 05:11:22
73,2,81,2,2023-02-15 18:00:30,"Vinho leve e fresco, ideal para verão.",2023-02-28 03:52:18
74,3,69,2,2023-11-05 15:23:55,Excelente relação qualidade/preço.,2023-11-11 16:46:58
75,3,97,2,2025-10-27 09:32:39,Serviço pós-venda eficiente.,2025-11-02 13:15:18
76,4,18,1,2025-01-28 06:06:04,Pouco complexo para o preço pedido.,2025-02-27 22:54:18
77,4,43,2,2025-07-28 09:38:45,"Vinho leve e fresco, ideal para verão.",2025-08-18 23:29:42
78,3,44,2,2023-10-02 02:44:12,Surpreendeu-me pela elegância.,2023-10-10 06:30:57
79,2,48,1,2023-08-06 22:52:50,Surpreendeu-me pela elegância.,2023-08-12 19:03:33
80,2,99,1,2025-03-01 03:08:52,"Gosto muito deste vinho, notas frutadas e bom corpo.",2025-03-22 08:58:23
81,4,20,2,2024-06-27 23:44:01,Textura sedosa e final longo.,2024-07-20 16:24:29
82,4,51,2,2023-03-15 10:45:27,"Não gostei, achei muito alcoólico.",2023-04-06 00:40:53
83,4,60,1,2023-06-23 10:41:57,Perfeito para acompanhar carnes vermelhas.,2023-06-26 09:04:20
84,4,94,2,2025-10-30 22:22:31,Perfeito para acompanhar carnes vermelhas.,2025-11-07 23:33:39
85,4,55,1,2024-06-24 21:25:32,"Aroma complexo, com notas de baunilha e frutos negros.",2024-07-16 01:43:31
86,1,45,1,2023-03-14 20:51:43,Processo de compra online confuso.,2023-03-19 14:00:16
87,4,52,2,2023-04-10 14:21:48,Surpreendeu-me pela elegância.,2023-05-06 20:33:10
88,4,95,2,2023-07-01 16:45:23,Muito tânico para o meu gosto.,2023-07-14 19:07:55
89,2,33,1,2023-07-08 01:04:44,Textura sedosa e final longo.,2023-07-20 06:16:49
90,4,94,2,2024-11-25 23:26:08,Loja muito bem organizada.,2024-12-19 00:52:11
91,4,49,2,2024-07-25 07:50:58,"Gosto muito deste vinho, notas frutadas e bom corpo.",2024-08-06 10:12:36
92,4,51,2,2023-02-21 05:12:05,"Aroma complexo, com notas de baunilha e frutos negros.",2023-03-20 12:03:23
93,2,41,2,2024-07-14 07:49:15,Processo de compra online confuso.,2024-07-23 01:38:10
94,2,27,2,2024-01-09 22:47:57,Sabor a frutos vermelhos e especiarias.,2024-02-02 14:23:11
95,2,26,2,2025-01-19 05:45:50,Pouco complexo para o preço pedido.,2025-02-14 16:16:30
96,3,56,2,2023-05-04 05:26:30,Sabor a frutos vermelhos e especiarias.,2023-05-25 18:21:59
97,3,49,1,2023-12-29 04:24:08,"Prefiro vinhos do Douro, este é perto do meu estilo.",2024-01-23 05:34:52
98,4,87,2,2025-08-01 13:25:35,Sabor a frutos vermelhos e especiarias.,2025-08-09 22:37:33
99,4,95,1,2025-06-25 00:50:52,"Vinho leve e fresco, ideal para verão.",2025-07-08 17:55:15
100,2,22,2,2025-07-02 06:45:00,"A safra está excelente, recomendo guardar mais alguns anos.",2025-07-07 11:36:19
101,4,35,1,2025-08-10 15:51:07,"Gosto muito deste vinho, notas frutadas e bom corpo.",2025-09-06 22:09:19
102,3,99,1,2025-08-07 07:55:58,Ótimo com queijos curados.,2025-08-22 08:07:08
103,2,42,1,2023-06-06 05:19:39,Processo de compra online confuso.,2023-06-14 06:41:52
104,4,23,1,2025-05-14 02:56:20,Muito tânico para o meu gosto.,2025-05-31 04:35:02
105,4,20,1,2025-11-09 18:19:34,"Não gostei, achei muito alcoólico.",2025-11-19 23:48:22
106,4,3,2,2024-04-27 23:41:10,Ótimo com queijos curados.,2024-05-12 13:27:48
107,2,25,1,2024-04-10 01:04:15,"Vinho leve e fresco, ideal para verão.",2024-05-04 22:54:43
108,2,21,1,2023-12-28 00:14:35,"A safra está excelente, recomendo guardar mais alguns anos.",2024-01-13 23:21:41
109,1,64,2,2023-12-26 07:34:28,Textura sedosa e final longo.,2024-01-14 04:25:42
110,1,35,2,2025-05-22 12:17:55,Perfeito para acompanhar carnes vermelhas.,2025-06-01 20:33:04
111,1,85,1,2024-09-28 23:59:04,"Não gostei, achei muito alcoólico.",2024-10-16 09:30:08
112,1,56,2,2023-05-29 21:23:13,"Não gostei, achei muito alcoólico.",2023-06-24 12:03:14
113,2,57,2,2024-04-14 18:24:54,"Não gostei, achei muito alcoólico.",2024-04-19 16:56:24
114,1,30,2,2024-01-31 08:17:07,"Vinho leve e fresco, ideal para verão.",2024-02-10 02:50:12
115,3,48,2,2024-11-26 01:33:03,"Vinho leve e fresco, ideal para verão.",2024-12-09 05:44:18
116,3,27,2,2023-08-12 03:19:17,Textura sedosa e final longo.,2023-09-09 00:54:32
117,3,49,1,2024-02-06 08:54:08,Textura sedosa e final longo.,2024-02-25 20:48:04
118,4,88,1,2023-12-25 18:44:42,Ótimo com queijos curados.,2024-01-11 02:28:20
119,3,57,2,2023-01-06 19:28:39,"Gosto muito deste vinho, notas frutadas e bom corpo.",2023-01-28 09:50:08
120,2,3,2,2023-07-27 00:53:46,Pouco complexo para o preço pedido.,2023-08-22 09:05:17
121,2,31,1,2023-09-26 20:49:22,"Gosto muito deste vinho, notas frutadas e bom corpo.",2023-10-18 05:39:47
122,4,73,2,2024-02-08 08:18:17,Muito tânico para o meu gosto.,2024-03-06 07:00:37
123,2,95,2,2025-10-05 11:03:27,Textura sedosa e final longo.,2025-10-15 14:01:50
124,3,99,2,2025-04-24 05:40:40,Não gostei do serviço ao cliente.,2025-05-18 21:19:42
125,4,99,2,2023-12-22 20:17:33,Ótimo com queijos curados.,2023-12-27 12:48:35
126,3,17,1,2023-12-12 01:01:32,"Prefiro vinhos do Douro, este é perto do meu estilo.",2023-12-13 23:05:36
127,4,69,2,2024-03-28 03:31:51,"Vinho leve e fresco, ideal para verão.",2024-04-18 09:52:42
128,2,67,1,2023-10-26 23:46:17,"Vinho leve e fresco, ideal para verão.",2023-10-29 21:29:50
129,3,36,2,2024-03-21 17:45:58,Perfeito para acompanhar carnes vermelhas.,2024-03-27 11:38:23
130,2,10,2,2025-09-11 16:24:30,"Gosto muito deste vinho, notas frutadas e bom corpo.",2025-09-20 03:31:09
131,1,48,1,2025-10-03 19:56:25,"Vinho leve e fresco, ideal para verão.",2025-10-24 08:43:14
132,1,22,1,2024-04-15 21:53:48,"Aroma complexo, com notas de baunilha e frutos negros.",2024-05-07 11:09:16
133,2,76,2,2024-03-13 14:15:02,"Aroma complexo, com notas de baunilha e frutos negros.",2024-04-13 05:52:46
134,4,48,2,2023-09-03 18:19:39,"A safra está excelente, recomendo guardar mais alguns anos.",2023-09-19 09:52:43
135,4,95,1,2025-11-01 12:35:40,Perfeito para acompanhar carnes vermelhas.,2025-11-14 01:19:11
136,3,4,1,2025-10-07 15:22:19,Perfeito para acompanhar carnes vermelhas.,2025-10-15 21:17:58
137,4,18,2,2024-08-11 00:29:04,Serviço pós-venda eficiente.,2024-09-04 07:27:04
138,2,86,1,2024-01-19 12:01:06,Textura sedosa e final longo.,2024-01-22 03:22:27
139,4,72,1,2025-04-15 01:53:25,Surpreendeu-me pela elegância.,2025-04-25 22:42:49
140,2,74,2,2023-09-29 11:02:34,Ótimo com queijos curados.,2023-10-10 18:25:08
141,1,24,2,2025-09-19 22:37:16,Excelente relação qualidade/preço.,2025-10-01 13:28:01
142,1,80,1,2024-09-15 14:01:46,"Vinho leve e fresco, ideal para verão.",2024-09-18 19:46:52
143,2,33,1,2023-10-22 17:37:15,Recomendo pela rapidez da entrega.,2023-11-17 01:05:16
144,2,62,2,2025-05-08 12:35:13,Surpreendeu-me pela elegância.,2025-05-14 10:46:00
145,4,75,1,2023-06-28 14:11:53,"Não gostei, achei muito alcoólico.",2023-07-12 17:40:57
146,1,19,2,2025-06-26 20:20:40,Perfeito para acompanhar carnes vermelhas.,2025-07-15 04:13:15
147,2,22,1,2024-02-17 20:21:36,"Gosto muito deste vinho, notas frutadas e bom corpo.",2024-03-14 15:40:42
148,3,48,2,2023-06-29 10:23:41,Atendimento na loja excelente.,2023-07-08 03:22:00
149,3,11,2,2024-01-16 22:56:11,Perfeito para acompanhar carnes vermelhas.,2024-01-29 09:54:40
150,4,63,1,2023-04-25 17:03:08,Excelente relação qualidade/preço.,2023-05-21 18:56:14
151,4,26,1,2025-05-03 11:32:30,"A safra está excelente, recomendo guardar mais alguns anos.",2025-05-28 08:45:52
152,2,90,1,2025-08-25 20:49:09,"Aroma complexo, com notas de baunilha e frutos negros.",2025-09-23 15:30:53
153,1,58,1,2023-05-20 17:51:05,Surpreendeu-me pela elegância.,2023-05-30 09:55:21
154,4,44,1,2023-07-16 05:44:37,Ótimo com queijos curados.,2023-08-01 02:53:27
155,3,69,2,2025-02-12 15:33:59,"Aroma complexo, com notas de baunilha e frutos negros.",2025-03-06 12:29:58
156,2,26,1,2025-10-03 14:54:05,"Adoro vinhos da Toscana, este cumpre bem.",2025-10-19 00:58:10
157,2,58,2,2023-12-31 11:50:29,Sabor a frutos vermelhos e especiarias.,2024-01-24 00:09:49
158,3,86,1,2025-03-30 18:04:21,Sabor a frutos vermelhos e especiarias.,2025-04-04 08:47:29
159,4,18,2,2023-07-08 14:04:25,Muito tânico para o meu gosto.,2023-08-05 22:13:16
160,3,44,1,2024-05-05 16:40:44,Serviço pós-venda eficiente.,2024-06-05 14:08:02
161,1,68,2,2024-07-30 06:07:31,Perfeito para acompanhar carnes vermelhas.,2024-08-14 02:09:47
162,3,60,1,2024-12-10 22:23:39,"Prefiro vinhos do Douro, este é perto do meu estilo.",2024-12-14 04:37:34
163,3,17,2,2023-10-14 14:27:57,Textura sedosa e final longo.,2023-10-24 16:53:19
164,4,97,1,2023-01-13 02:20:27,Perfeito para acompanhar carnes vermelhas.,2023-01-23 18:59:27
165,4,56,1,2024-04-05 02:31:20,"Entrega atrasada, não recomendo.",2024-04-15 12:21:09
166,4,29,1,2023-03-03 21:50:08,Textura sedosa e final longo.,2023-03-16 07:43:17
167,1,25,2,2023-09-19 12:13:21,Pouco complexo para o preço pedido.,2023-09-21 05:22:28
168,1,8,1,2024-01-12 06:06:20,Pouco complexo para o preço pedido.,2024-01-27 21:49:12
169,3,24,2,2025-01-26 03:38:34,Ótimo com queijos curados.,2025-01-30 04:33:18
170,3,28,2,2025-07-21 19:54:35,"Prefiro vinhos do Douro, este é perto do meu estilo.",2025-08-12 06:42:07
171,2,23,1,2024-03-29 23:45:24,"A safra está excelente, recomendo guardar mais alguns anos.",2024-04-25 05:16:25
172,3,79,2,2025-04-14 10:30:48,Muito tânico para o meu gosto.,2025-04-30 09:49:41
173,2,75,2,2024-05-20 08:36:59,Surpreendeu-me pela elegância.,2024-06-18 11:33:12
174,1,27,2,2025-02-15 15:09:45,Surpreendeu-me pela elegância.,2025-03-10 04:12:33
175,4,59,1,2023-11-17 22:21:58,Textura sedosa e final longo.,2023-12-16 10:29:34
176,3,14,1,2023-11-04 01:06:26,"Adoro vinhos da Toscana, este cumpre bem.",2023-11-06 08:40:15
177,2,23,2,2024-10-02 14:59:46,Muito tânico para o meu gosto.,2024-10-13 12:47:29
178,1,40,2,2024-11-06 20:47:37,Textura sedosa e final longo.,2024-11-28 22:47:57
179,3,73,2,2024-12-27 07:54:07,Pouco complexo para o preço pedido.,2025-01-21 23:18:16
180,2,12,2,2025-11-09 20:07:46,Surpreendeu-me pela elegância.,2025-11-13 07:21:43
181,1,53,1,2025-07-31 19:06:58,Ótimo com queijos curados.,2025-08-21 22:21:17
182,3,74,1,2024-04-23 23:13:28,"Prefiro vinhos do Douro, este é perto do meu estilo.",2024-05-12 04:46:58
183,1,39,2,2024-03-17 10:01:01,"Não gostei, achei muito alcoólico.",2024-03-30 10:42:05
184,1,34,1,2025-04-20 12:17:01,"Prefiro vinhos do Douro, este é perto do meu estilo.",2025-04-27 13:51:58
185,4,67,1,2023-07-17 20:18:16,"Aroma complexo, com notas de baunilha e frutos negros.",2023-07-28 05:14:37
186,2,72,1,2023-11-30 22:46:50,"A safra está excelente, recomendo guardar mais alguns anos.",2023-12-31 17:16:16
187,3,54,2,2023-03-23 08:17:15,Processo de compra online confuso.,2023-04-03 17:51:00
188,2,81,2,2024-07-06 22:25:59,"Adoro vinhos da Toscana, este cumpre bem.",2024-07-19 09:21:34
189,1,15,1,2024-05-21 17:21:27,"Vinho leve e fresco, ideal para verão.",2024-05-30 23:54:11
190,2,61,2,2025-04-19 09:45:21,Sabor a frutos vermelhos e especiarias.,2025-05-15 03:41:57
191,3,88,2,2025-08-11 08:32:34,Excelente relação qualidade/preço.,2025-08-24 08:00:18
192,4,8,1,2024-08-11 19:32:34,Sabor a frutos vermelhos e especiarias.,2024-08-30 00:07:29
193,4,9,2,2024-03-21 22:31:18,"Vinho leve e fresco, ideal para verão.",2024-03-26 01:42:49
194,3,91,1,2025-09-06 19:25:00,Textura sedosa e final longo.,2025-10-03 17:19:13
195,1,86,2,2023-03-26 22:49:54,Sabor a frutos vermelhos e especiarias.,2023-04-19 13:34:05
196,2,8,1,2025-03-23 11:41:38,"Prefiro vinhos do Douro, este é perto do meu estilo.",2025-03-29 16:44:19
197,2,100,1,2024-01-17 14:20:15,Perfeito para acompanhar carnes vermelhas.,2024-01-28 15:55:01
198,4,49,2,2023-10-14 00:09:13,"Adoro vinhos da Toscana, este cumpre bem.",2023-10-25 01:17:40
199,1,35,1,2025-09-12 04:58:27,Muito tânico para o meu gosto.,2025-09-30 07:00:02
200,3,20,2,2025-03-25 10:48:34,"Vinho leve e fresco, ideal para verão.",2025-04-09 00:51:37
201,2,3,2,2023-10-22 03:52:46,Sabor a frutos vermelhos e especiarias.,2023-10-29 20:41:41
202,3,77,1,2024-09-14 14:58:04,Muito tânico para o meu gosto.,2024-09-30 08:55:33
203,2,54,2,2023-12-31 06:49:27,Perfeito para acompanhar carnes vermelhas.,2024-01-05 02:47:54
204,4,42,2,2023-07-27 03:21:10,"Adoro vinhos da Toscana, este cumpre bem.",2023-08-08 07:01:13
205,4,96,1,2024-12-25 13:40:45,Excelente relação qualidade/preço.,2025-01-11 22:15:08
206,1,71,2,2023-02-17 11:16:48,Surpreendeu-me pela elegância.,2023-02-24 00:43:35
207,4,67,2,2024-04-24 05:46:45,Sabor a frutos vermelhos e especiarias.,2024-05-19 17:45:37
208,2,74,2,2024-06-06 01:25:08,Perfeito para acompanhar carnes vermelhas.,2024-06-28 13:30:25
209,1,28,2,2025-06-12 03:08:57,"Gosto muito deste vinho, notas frutadas e bom corpo.",2025-07-13 02:08:52
210,4,97,1,2024-11-27 06:53:25,"Aroma complexo, com notas de baunilha e frutos negros.",2024-12-27 16:56:25
211,1,51,1,2024-05-21 18:43:23,"Adoro vinhos da Toscana, este cumpre bem.",2024-05-28 03:24:22
212,1,96,1,2025-05-31 11:24:29,Perfeito para acompanhar carnes vermelhas.,2025-06-03 23:20:50
213,4,64,2,2023-11-27 05:22:00,Pouco complexo para o preço pedido.,2023-12-15 07:40:54
214,4,35,1,2023-05-30 23:59:16,"Gosto muito deste vinho, notas frutadas e bom corpo.",2023-06-04 07:38:45
215,2,17,2,2025-10-08 18:54:37,"Não gostei, achei muito alcoólico.",2025-11-08 15:33:41
216,4,16,2,2023-03-25 22:50:26,"Vinho leve e fresco, ideal para verão.",2023-03-27 20:25:38
217,3,93,2,2024-07-07 04:26:10,"Prefiro vinhos do Douro, este é perto do meu estilo.",2024-07-26 14:52:49
218,1,3,2,2024-04-05 12:05:05,"A safra está excelente, recomendo guardar mais alguns anos.",2024-04-07 18:47:56
219,3,44,2,2023-07-24 23:05:14,Perfeito para acompanhar carnes vermelhas.,2023-08-19 03:15:53
220,4,58,2,2025-05-13 13:04:04,"Adoro vinhos da Toscana, este cumpre bem.",2025-06-01 09:38:02
221,3,97,1,2023-03-23 21:50:47,Pouco complexo para o preço pedido.,2023-04-17 09:33:48
222,4,6,1,2025-09-26 01:32:44,Surpreendeu-me pela elegância.,2025-09-27 04:24:52
223,4,21,1,2023-12-27 21:09:05,"Prefiro vinhos do Douro, este é perto do meu estilo.",2024-01-15 13:11:05
224,2,22,1,2024-09-04 02:43:20,"A safra está excelente, recomendo guardar mais alguns anos.",2024-09-26 20:57:59
225,1,10,2,2025-09-17 08:15:28,Serviço pós-venda eficiente.,2025-09-29 16:01:12
226,4,54,2,2024-06-06 00:48:47,Recomendo pela rapidez da entrega.,2024-06-26 01:52:31
227,3,73,2,2024-02-19 17:51:46,"Não gostei, achei muito alcoólico.",2024-02-22 09:36:24
228,4,94,1,2024-05-05 23:00:50,"Adoro vinhos da Toscana, este cumpre bem.",2024-05-18 06:29:06
229,2,4,2,2023-02-02 07:10:03,Excelente relação qualidade/preço.,2023-02-08 21:10:33
230,2,54,2,2025-07-04 05:25:11,"Adoro vinhos da Toscana, este cumpre bem.",2025-08-03 02:48:56
231,4,69,2,2024-06-04 04:40:49,Sabor a frutos vermelhos e especiarias.,2024-06-17 03:20:07
232,3,70,2,2025-03-22 06:44:15,Ótimo com queijos curados.,2025-04-01 04:09:03
233,2,77,1,2023-10-15 16:04:00,Pouco complexo para o preço pedido.,2023-11-15 13:56:20
234,4,91,2,2023-05-07 23:41:26,Ótimo com queijos curados.,2023-05-18 10:31:02
235,2,98,2,2024-07-10 14:41:40,"Não gostei, achei muito alcoólico.",2024-07-12 05:57:44
236,2,53,1,2023-03-03 03:35:30,Serviço pós-venda eficiente.,2023-03-27 23:02:12
237,3,21,1,2025-06-09 16:22:36,Pouco complexo para o preço pedido.,2025-06-17 00:52:41
238,1,1,2,2025-08-22 20:57:00,Ótimo com queijos curados.,2025-09-03 12:37:07
239,2,83,2,2024-01-08 22:55:02,Surpreendeu-me pela elegância.,2024-01-20 01:36:01
240,4,53,1,2024-02-14 19:50:04,"Aroma complexo, com notas de baunilha e frutos negros.",2024-03-08 00:56:27
241,3,77,2,2023-12-18 01:00:59,"Aroma complexo, com notas de baunilha e frutos negros.",2023-12-29 03:09:29
242,2,8,2,2023-05-03 15:00:54,Perfeito para acompanhar carnes vermelhas.,2023-05-19 18:42:40
243,4,49,1,2023-04-23 23:00:10,"Prefiro vinhos do Douro, este é perto do meu estilo.",2023-05-01 17:18:32
244,2,49,2,2025-01-25 01:32:39,Perfeito para acompanhar carnes vermelhas.,2025-02-23 20:20:35
245,4,99,2,2024-11-08 06:27:31,Perfeito para acompanhar carnes vermelhas.,2024-11-24 09:14:56
246,2,92,2,2025-09-23 16:35:31,"Gosto muito deste vinho, notas frutadas e bom corpo.",2025-10-11 07:09:02
247,4,68,2,2025-01-28 02:43:43,Ótimo com queijos curados.,2025-02-23 20:51:04
248,3,5,1,2023-02-06 23:40:01,"Prefiro vinhos do Douro, este é perto do meu estilo.",2023-03-01 21:47:20
249,1,19,1,2023-11-12 19:48:23,"Adoro vinhos da Toscana, este cumpre bem.",2023-12-07 10:28:28
250,1,16,2,2024-11-15 17:03:59,Surpreendeu-me pela elegância.,2024-12-15 22:08:03
251,1,95,2,2023-09-23 01:11:07,Perfeito para acompanhar carnes vermelhas.,2023-10-17 01:29:01
252,3,10,2,2025-02-11 10:00:18,"Não gostei, achei muito alcoólico.",2025-03-10 12:06:31
253,4,60,2,2023-11-06 06:36:11,Ótimo com queijos curados.,2023-12-02 08:54:18
254,2,37,1,2023-08-06 20:15:13,Textura sedosa e final longo.,2023-08-27 21:42:37
255,2,56,2,2024-07-31 17:06:52,Excelente relação qualidade/preço.,2024-08-14 12:28:29
256,2,59,2,2024-08-23 02:50:06,"Não gostei, achei muito alcoólico.",2024-09-17 13:11:09
257,3,34,2,2025-03-02 17:00:24,"Adoro vinhos da Toscana, este cumpre bem.",2025-04-01 22:15:31
258,1,18,1,2023-09-19 00:57:58,"Aroma complexo, com notas de baunilha e frutos negros.",2023-10-05 11:35:12
259,4,36,1,2024-11-28 01:01:18,"Vinho leve e fresco, ideal para verão.",2024-12-26 11:32:09
260,1,35,1,2025-10-25 19:26:03,Ótimo com queijos curados.,2025-11-14 02:59:41
261,2,30,1,2024-10-17 04:33:52,Ótimo com queijos curados.,2024-10-21 04:27:36
262,4,93,2,2023-08-05 08:32:10,Surpreendeu-me pela elegância.,2023-08-28 07:48:44
