id,userid,text,datahora,modelo,sentimento,score,created_on
25,3,"Excelente vinho, recomendo vivamente.",2024-04-23 01:20:38,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.91199,2024-07-13 07:39:18
26,1,Acidez equilibrada e notas florais elegantes.,2024-07-26 16:59:54,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.795911,2024-09-29 09:53:26
27,4,"Taninos agressivos, difícil de apreciar.",2023-06-30 07:59:34,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEGATIVO,0.228955,2024-09-18 12:20:55
28,2,Aroma artificial e final amargo.,2023-07-03 04:16:30,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEGATIVO,0.285861,2023-07-16 21:38:14
29,3,"Vinho harmonioso e bem trabalhado, surpreendente.",2025-09-13 14:31:43,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.780422,2025-10-30 16:36:48
30,3,"Taninos suaves e boa estrutura, ótimo equilíbrio.",2025-06-21 20:10:40,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.943429,2025-07-13 14:27:01
31,3,"Taninos suaves e boa estrutura, ótimo equilíbrio.",2024-05-02 12:35:41,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.997767,2025-08-02 12:31:25
32,3,"Vinho sem equilíbrio, acidez excessiva.",2024-05-22 02:01:23,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEGATIVO,0.143005,2024-06-06 05:16:21
33,3,"Vinho harmonioso e bem trabalhado, surpreendente.",2023-01-09 09:28:26,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.708903,2024-06-06 03:24:04
34,3,"Taninos agressivos, difícil de apreciar.",2025-10-04 13:07:57,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEGATIVO,0.074582,2025-10-09 18:57:54
35,3,"Aroma frutado e agradável, final persistente.",2024-06-03 12:17:53,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.938457,2025-05-03 20:11:21
36,2,"Vinho harmonioso e bem trabalhado, surpreendente.",2023-01-12 13:08:58,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.794851,2025-01-23 20:34:48
37,2,"Excelente vinho, recomendo vivamente.",2023-06-22 12:32:40,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.937687,2025-01-11 02:45:40
38,2,"Vinho sem equilíbrio, acidez excessiva.",2023-09-02 05:07:18,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEGATIVO,0.138092,2025-01-07 15:34:22
39,1,"Excelente vinho, recomendo vivamente.",2024-01-16 14:34:04,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.789048,2024-08-10 21:35:57
40,4,"Aroma frutado e agradável, final persistente.",2025-09-11 03:31:53,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.775719,2025-10-08 19:53:10
41,4,Aroma artificial e final amargo.,2025-08-30 06:39:25,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEGATIVO,0.099354,2025-09-14 08:26:52
42,3,"Cumpre o mínimo, sem se destacar.",2023-03-18 17:50:30,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEUTRO,0.372415,2023-11-16 20:54:11
43,3,"Excelente vinho, recomendo vivamente.",2025-08-21 03:32:06,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.758225,2025-10-13 16:07:15
44,1,"Aroma frutado e agradável, final persistente.",2024-10-13 15:42:09,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.775583,2025-06-14 18:49:35
45,1,"Muito abaixo das expectativas, dececionante.",2023-03-31 18:17:51,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEGATIVO,0.048485,2023-09-25 13:32:55
46,2,"Vinho harmonioso e bem trabalhado, surpreendente.",2023-09-17 21:39:28,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.851682,2024-10-09 21:49:31
47,2,"Aroma frutado e agradável, final persistente.",2024-10-01 10:52:23,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.794908,2025-09-29 23:01:07
48,4,"Muito abaixo das expectativas, dececionante.",2023-08-11 08:18:02,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEGATIVO,0.076355,2024-01-29 05:46:44
49,1,Acidez equilibrada e notas florais elegantes.,2025-04-27 17:46:45,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.900787,2025-07-21 23:25:55
50,2,"Aroma frutado e agradável, final persistente.",2023-05-19 22:40:34,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.906341,2023-10-31 01:53:56
51,4,Acidez equilibrada e notas florais elegantes.,2023-10-07 05:55:02,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.795983,2023-11-23 22:19:59
52,4,"Taninos suaves e boa estrutura, ótimo equilíbrio.",2023-05-23 20:20:20,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.773629,2024-02-26 20:56:08
53,2,"Vinho harmonioso e bem trabalhado, surpreendente.",2025-07-04 05:36:00,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.680081,2025-10-19 03:01:59
54,2,"Aroma frutado e agradável, final persistente.",2025-09-14 03:48:59,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.67316,2025-10-26 07:13:57
55,3,"Vinho harmonioso e bem trabalhado, surpreendente.",2024-05-29 22:06:24,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.989203,2024-11-19 05:19:57
56,2,"Vinho harmonioso e bem trabalhado, surpreendente.",2024-05-16 22:51:40,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.993423,2025-06-09 17:38:57
57,3,Acidez equilibrada e notas florais elegantes.,2024-05-20 10:07:52,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.993999,2024-12-02 16:38:55
58,3,Acidez equilibrada e notas florais elegantes.,2024-02-17 07:21:42,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.886332,2025-10-01 00:28:22
59,1,"Excelente vinho, recomendo vivamente.",2023-04-20 07:08:16,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.824917,2024-01-27 17:44:32
60,4,"Aroma frutado e agradável, final persistente.",2025-03-31 06:30:30,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.880311,2025-04-25 16:09:34
61,3,"Aroma frutado e agradável, final persistente.",2023-04-27 06:37:11,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.792215,2024-05-09 01:23:55
62,2,"Taninos suaves e boa estrutura, ótimo equilíbrio.",2023-06-18 04:02:18,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.944615,2025-07-10 02:03:42
63,1,"Vinho harmonioso e bem trabalhado, surpreendente.",2023-04-26 15:42:28,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.71527,2024-03-30 10:16:00
64,1,"Vinho harmonioso e bem trabalhado, surpreendente.",2023-01-04 22:42:58,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.796385,2025-02-08 07:55:09
65,3,Aroma artificial e final amargo.,2023-12-17 15:29:56,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEGATIVO,0.127446,2025-05-03 16:55:03
66,1,"Taninos suaves e boa estrutura, ótimo equilíbrio.",2024-03-07 04:14:17,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.995663,2025-04-05 03:12:59
67,2,"Taninos suaves e boa estrutura, ótimo equilíbrio.",2023-11-28 03:08:36,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.949583,2024-11-14 13:22:10
68,4,"Vinho sem equilíbrio, acidez excessiva.",2024-08-30 13:46:53,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEGATIVO,0.269223,2025-09-14 09:17:39
69,3,"Vinho sem equilíbrio, acidez excessiva.",2023-05-25 13:07:28,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEGATIVO,0.092469,2024-06-21 08:59:06
70,1,"Cumpre o mínimo, sem se destacar.",2025-10-27 06:27:59,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEUTRO,0.44101,2025-10-27 17:59:43
71,4,"Vinho harmonioso e bem trabalhado, surpreendente.",2023-08-18 01:35:35,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.967244,2025-02-01 02:13:03
72,3,"Taninos suaves e boa estrutura, ótimo equilíbrio.",2023-09-10 00:59:46,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.841452,2025-10-25 15:56:34
73,3,"Vinho harmonioso e bem trabalhado, surpreendente.",2023-07-29 12:03:36,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.667519,2024-11-06 01:11:28
74,4,"Vinho sem equilíbrio, acidez excessiva.",2024-02-07 07:22:22,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEGATIVO,0.243167,2024-10-17 11:39:55
75,2,Acidez equilibrada e notas florais elegantes.,2025-07-19 16:03:01,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.903527,2025-10-29 02:34:44
76,2,Acidez equilibrada e notas florais elegantes.,2025-06-09 07:04:39,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.94156,2025-10-27 09:41:11
77,4,"Taninos suaves e boa estrutura, ótimo equilíbrio.",2024-10-01 20:43:17,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.809936,2024-12-30 11:55:30
78,1,"Muito abaixo das expectativas, dececionante.",2023-07-10 14:36:44,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEGATIVO,0.136234,2023-11-15 04:23:08
79,2,"Muito abaixo das expectativas, dececionante.",2025-10-14 08:07:55,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEGATIVO,0.086017,2025-10-27 17:58:09
80,4,Acidez equilibrada e notas florais elegantes.,2024-12-06 22:58:10,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.856827,2025-03-28 07:24:15
81,4,Acidez equilibrada e notas florais elegantes.,2023-09-29 17:31:29,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.758603,2023-10-24 16:55:48
82,2,"Vinho harmonioso e bem trabalhado, surpreendente.",2025-04-16 19:35:56,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.997792,2025-07-24 16:04:07
83,4,Acidez equilibrada e notas florais elegantes.,2024-01-23 10:03:45,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.967235,2024-01-25 18:22:35
84,2,"Aroma frutado e agradável, final persistente.",2024-09-11 21:06:14,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.732662,2025-02-18 04:36:27
85,4,Notas de oxidação e sabor desequilibrado.,2023-06-28 03:15:55,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEGATIVO,0.312593,2024-05-02 22:04:44
86,1,"Taninos suaves e boa estrutura, ótimo equilíbrio.",2024-11-24 14:43:20,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.963741,2025-04-11 09:57:14
87,3,"Aroma frutado e agradável, final persistente.",2023-08-13 05:51:42,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.90237,2023-09-25 23:22:37
88,2,Acidez equilibrada e notas florais elegantes.,2024-09-15 17:39:56,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.957971,2025-03-02 17:16:58
89,3,"Sabor correto, dentro do esperado.",2024-08-04 12:35:20,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEUTRO,0.476299,2025-07-04 22:44:00
90,3,Acidez equilibrada e notas florais elegantes.,2025-07-10 11:43:08,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.873937,2025-09-13 13:54:00
91,1,"Vinho harmonioso e bem trabalhado, surpreendente.",2025-04-03 02:21:05,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.729603,2025-07-07 04:32:51
92,3,"Taninos suaves e boa estrutura, ótimo equilíbrio.",2024-01-04 03:29:37,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.938896,2024-07-24 00:38:01
93,4,"Aroma frutado e agradável, final persistente.",2025-01-02 08:20:39,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.819397,2025-07-20 12:34:50
94,4,"Taninos suaves e boa estrutura, ótimo equilíbrio.",2024-04-08 20:54:48,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.842332,2025-04-15 16:12:20
95,1,Acidez equilibrada e notas florais elegantes.,2025-08-08 04:23:40,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.867553,2025-10-19 07:24:55
96,2,"Aroma frutado e agradável, final persistente.",2023-05-04 21:23:02,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.977217,2024-02-04 22:03:33
97,1,Acidez equilibrada e notas florais elegantes.,2025-01-19 15:47:49,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.716113,2025-08-11 20:45:28
98,3,"Taninos agressivos, difícil de apreciar.",2023-07-31 16:26:50,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEGATIVO,0.049572,2024-12-17 13:42:57
99,3,"Excelente vinho, recomendo vivamente.",2023-12-01 05:10:00,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.747321,2025-01-30 03:43:43
100,1,"Taninos suaves e boa estrutura, ótimo equilíbrio.",2023-02-20 16:40:25,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.857462,2024-04-13 11:19:17
101,2,"Aroma frutado e agradável, final persistente.",2024-12-13 15:23:40,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.882282,2025-07-12 11:47:21
102,1,"Aroma frutado e agradável, final persistente.",2024-12-13 18:06:24,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.884427,2025-08-09 10:32:56
103,4,"Taninos suaves e boa estrutura, ótimo equilíbrio.",2025-09-28 17:18:35,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.740318,2025-10-02 12:37:59
104,1,"Vinho sem equilíbrio, acidez excessiva.",2023-10-01 09:42:03,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEGATIVO,0.227601,2024-06-14 03:47:49
105,1,Notas de oxidação e sabor desequilibrado.,2023-07-26 17:13:12,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEGATIVO,0.03266,2025-08-23 11:04:29
106,2,"Excelente vinho, recomendo vivamente.",2024-12-04 04:55:24,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.987331,2025-08-01 23:44:38
107,4,"Taninos agressivos, difícil de apreciar.",2025-04-27 12:08:57,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEGATIVO,0.121562,2025-08-17 08:00:55
108,4,Acidez equilibrada e notas florais elegantes.,2024-10-13 18:09:05,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.695069,2024-10-31 23:37:50
109,3,"Aroma frutado e agradável, final persistente.",2024-10-25 18:56:27,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.677998,2025-10-05 18:44:43
110,3,"Excelente vinho, recomendo vivamente.",2025-07-10 13:00:22,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.684057,2025-07-25 00:58:11
111,1,Acidez equilibrada e notas florais elegantes.,2024-03-04 00:06:22,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.720141,2024-06-27 10:09:43
112,4,Notas de oxidação e sabor desequilibrado.,2024-03-13 18:17:58,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEGATIVO,0.054672,2025-10-03 04:57:17
113,2,"Cumpre o mínimo, sem se destacar.",2024-01-28 19:08:11,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEUTRO,0.633857,2025-09-23 09:45:00
114,4,"Aroma frutado e agradável, final persistente.",2024-02-17 21:14:06,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.82546,2024-08-03 21:47:18
115,1,"Taninos suaves e boa estrutura, ótimo equilíbrio.",2025-03-17 01:37:11,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.807283,2025-06-24 17:10:39
116,1,"Muito abaixo das expectativas, dececionante.",2024-05-31 23:27:15,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEGATIVO,0.032404,2025-06-28 19:47:02
117,3,"Taninos suaves e boa estrutura, ótimo equilíbrio.",2025-09-06 21:00:48,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.695947,2025-10-01 02:38:50
118,1,"Aroma frutado e agradável, final persistente.",2023-11-27 19:43:12,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.712838,2025-09-27 14:38:54
119,1,Notas de oxidação e sabor desequilibrado.,2025-07-06 14:31:25,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEGATIVO,0.335415,2025-08-11 05:25:15
120,4,"Vinho comum, sem grandes surpresas.",2025-06-18 04:17:55,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEUTRO,0.510585,2025-10-17 17:35:55
121,1,"Aroma frutado e agradável, final persistente.",2023-08-21 00:44:48,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.806603,2025-03-07 11:42:48
122,1,Acidez equilibrada e notas florais elegantes.,2025-09-25 12:27:04,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.951187,2025-10-11 12:40:35
123,2,"Vinho harmonioso e bem trabalhado, surpreendente.",2024-03-25 23:43:45,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.719686,2024-08-30 23:26:13
124,4,Acidez equilibrada e notas florais elegantes.,2025-01-17 19:06:35,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.881213,2025-07-20 23:50:30
125,4,Acidez equilibrada e notas florais elegantes.,2024-01-25 20:50:12,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.75652,2024-04-19 19:00:40
126,3,"Taninos suaves e boa estrutura, ótimo equilíbrio.",2023-05-02 21:40:07,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.840636,2024-07-18 05:56:59
127,1,"Comentário neutro, nada a destacar.",2023-07-16 16:53:04,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEUTRO,0.433821,2023-10-20 13:54:25
128,3,"Vinho harmonioso e bem trabalhado, surpreendente.",2024-09-05 16:11:56,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.739688,2025-08-05 12:05:34
129,3,Acidez equilibrada e notas florais elegantes.,2025-01-11 07:19:57,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.751939,2025-05-05 13:44:43
130,3,Acidez equilibrada e notas florais elegantes.,2023-02-20 01:31:38,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.940144,2023-07-18 02:52:51
131,1,"Taninos suaves e boa estrutura, ótimo equilíbrio.",2025-04-17 15:17:43,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.74367,2025-09-27 10:31:48
132,3,"Taninos agressivos, difícil de apreciar.",2025-06-10 07:34:18,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEGATIVO,0.007356,2025-06-30 02:57:09
133,4,"Taninos suaves e boa estrutura, ótimo equilíbrio.",2024-05-10 21:03:08,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.9756,2025-03-25 15:16:17
134,1,"Muito abaixo das expectativas, dececionante.",2024-05-19 12:21:07,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEGATIVO,0.180015,2024-09-10 14:59:04
135,1,Acidez equilibrada e notas florais elegantes.,2023-02-22 10:47:24,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.995096,2025-09-15 15:23:21
136,3,"Aroma frutado e agradável, final persistente.",2025-04-28 07:22:47,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.70456,2025-05-28 23:04:22
137,2,"Excelente vinho, recomendo vivamente.",2024-08-14 11:26:07,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.998421,2024-08-16 17:01:40
138,3,"Vinho harmonioso e bem trabalhado, surpreendente.",2024-11-25 14:33:31,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.681489,2024-12-20 12:17:32
139,4,Acidez equilibrada e notas florais elegantes.,2025-06-07 01:58:26,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.89747,2025-06-27 11:22:57
140,4,"Comentário neutro, nada a destacar.",2024-11-23 11:17:10,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEUTRO,0.484405,2025-07-06 04:02:02
141,1,"Avaliação neutra, qualidade média.",2025-02-13 15:49:32,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEUTRO,0.568082,2025-08-28 05:25:07
142,1,"Vinho harmonioso e bem trabalhado, surpreendente.",2023-04-17 05:14:01,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.888725,2024-03-18 18:56:35
143,1,Aroma artificial e final amargo.,2023-03-04 20:46:43,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEGATIVO,0.135918,2024-04-18 12:05:05
144,3,"Aroma frutado e agradável, final persistente.",2025-10-12 10:31:16,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.738504,2025-10-15 10:28:43
145,4,Aroma artificial e final amargo.,2024-06-12 01:09:59,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEGATIVO,0.253384,2025-07-25 22:11:56
146,2,"Excelente vinho, recomendo vivamente.",2024-01-04 12:07:35,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.911952,2024-01-27 17:59:26
147,4,"Taninos suaves e boa estrutura, ótimo equilíbrio.",2024-11-29 18:49:02,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.826738,2025-06-17 14:43:46
148,1,"Muito abaixo das expectativas, dececionante.",2025-10-03 17:46:53,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEGATIVO,0.228865,2025-10-18 21:26:20
149,1,"Muito abaixo das expectativas, dececionante.",2024-02-29 21:43:37,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEGATIVO,0.148957,2025-03-31 15:17:29
150,3,"Muito abaixo das expectativas, dececionante.",2023-03-21 17:11:12,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEGATIVO,0.200953,2024-03-20 06:56:07
151,3,"Taninos suaves e boa estrutura, ótimo equilíbrio.",2024-03-03 23:54:01,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.86562,2025-06-26 20:41:15
152,4,"Vinho harmonioso e bem trabalhado, surpreendente.",2024-09-05 10:53:51,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.88962,2025-09-13 17:18:24
153,3,"Taninos agressivos, difícil de apreciar.",2025-05-01 05:41:27,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEGATIVO,0.161232,2025-05-23 13:35:50
